[07-30 16:10:53]135,Arrow 01, Character ID:1
[07-30 16:10:53]149,Gunpowder 01, Character ID:1
[07-30 16:10:53]200,Left Plaster Glove, Character ID:1
[07-30 16:10:53]201,Left Brawler Glove, Character ID:1
[07-30 16:10:53]202,Left Master Glove, Character ID:1
[07-30 16:10:53]203,Left Jagged Blade, Character ID:1
[07-30 16:10:53]204,Left Cosmo Blade, Character ID:1
[07-30 16:10:53]205,Left Tiger Glove, Character ID:1
[07-30 16:10:53]206,Left Hand of Death, Character ID:1
[07-30 16:10:53]228,Raging Bull Tattoo, Character ID:3
[07-30 16:10:53]229,Savage Bull Tattoo, Character ID:3
[07-30 16:10:53]230,Primal Tattoo, Character ID:3
[07-30 16:10:53]290,Husk Armor, Character ID:3
[07-30 16:10:53]291,Thick Armor, Character ID:3
[07-30 16:10:53]292,Leather Armor, Character ID:3
[07-30 16:10:53]293,Rhino Hide Armor, Character ID:3
[07-30 16:10:53]294,Tiger Hide Armor, Character ID:3
[07-30 16:10:53]295,Breast Plate, Character ID:3
[07-30 16:10:53]296,Soft Leather Armor, Character ID:3
[07-30 16:10:53]297,Heavy Leather Armor, Character ID:3
[07-30 16:10:53]298,Strong Leather Armor, Character ID:3
[07-30 16:10:53]299,Mithril Platemail, Character ID:3
[07-30 16:10:53]300,Chain Mail, Character ID:3
[07-30 16:10:53]301,Strong Platemail, Character ID:3
[07-30 16:10:53]302,Light Platemail, Character ID:3
[07-30 16:10:53]303,Silver Platemail, Character ID:3
[07-30 16:10:53]304,Ceremonial Platemail, Character ID:3
[07-30 16:10:53]305,Coarse Vest, Character ID:2
[07-30 16:10:53]306,Canvas Vest, Character ID:2
[07-30 16:10:53]307,Exquisite Vest, Character ID:2
[07-30 16:10:53]308,Leather Vest, Character ID:2
[07-30 16:10:53]309,Warrior Frock, Character ID:2
[07-30 16:10:53]310,Feather Vest, Character ID:2
[07-30 16:10:53]311,Safari Vest, Character ID:2
[07-30 16:10:53]312,Emerald Vest, Character ID:2
[07-30 16:10:53]313,Hunter Vest, Character ID:2
[07-30 16:10:53]314,Slick Vest, Character ID:2
[07-30 16:10:53]315,Peacock Vest, Character ID:2
[07-30 16:10:53]316,Ringdove Vest, Character ID:2
[07-30 16:10:53]317,Raptor Vest, Character ID:2
[07-30 16:10:53]335,Cloth Shirt, Character ID:2
[07-30 16:10:53]336,Tough Vest, Character ID:2
[07-30 16:10:53]337,Explorer Vest, Character ID:2
