[07-30 16:25:57]135,Arrow 01, Character ID:1
[07-30 16:25:57]149,Gunpowder 01, Character ID:1
[07-30 16:25:57]200,Left Plaster Glove, Character ID:1
[07-30 16:25:57]201,Left Brawler Glove, Character ID:1
[07-30 16:25:57]202,Left Master Glove, Character ID:1
[07-30 16:25:57]203,Left Jagged Blade, Character ID:1
[07-30 16:25:57]204,Left Cosmo Blade, Character ID:1
[07-30 16:25:57]205,Left Tiger Glove, Character ID:1
[07-30 16:25:57]206,Left Hand of Death, Character ID:1
[07-30 16:25:57]228,Raging Bull Tattoo, Character ID:3
[07-30 16:25:57]229,Savage Bull Tattoo, Character ID:3
[07-30 16:25:57]230,Primal Tattoo, Character ID:3
[07-30 16:25:57]290,Husk Armor, Character ID:3
[07-30 16:25:57]291,Thick Armor, Character ID:3
[07-30 16:25:57]292,Leather Armor, Character ID:3
[07-30 16:25:57]293,Rhino Hide Armor, Character ID:3
[07-30 16:25:57]294,Tiger Hide Armor, Character ID:3
[07-30 16:25:57]295,Breast Plate, Character ID:3
[07-30 16:25:57]296,Soft Leather Armor, Character ID:3
[07-30 16:25:57]297,Heavy Leather Armor, Character ID:3
[07-30 16:25:57]298,Strong Leather Armor, Character ID:3
[07-30 16:25:57]299,Mithril Platemail, Character ID:3
[07-30 16:25:57]300,Chain Mail, Character ID:3
[07-30 16:25:57]301,Strong Platemail, Character ID:3
[07-30 16:25:57]302,Light Platemail, Character ID:3
[07-30 16:25:57]303,Silver Platemail, Character ID:3
[07-30 16:25:57]304,Ceremonial Platemail, Character ID:3
[07-30 16:25:57]305,Coarse Vest, Character ID:2
[07-30 16:25:57]306,Canvas Vest, Character ID:2
[07-30 16:25:57]307,Exquisite Vest, Character ID:2
[07-30 16:25:57]308,Leather Vest, Character ID:2
[07-30 16:25:57]309,Warrior Frock, Character ID:2
[07-30 16:25:57]310,Feather Vest, Character ID:2
[07-30 16:25:57]311,Safari Vest, Character ID:2
[07-30 16:25:57]312,Emerald Vest, Character ID:2
[07-30 16:25:57]313,Hunter Vest, Character ID:2
[07-30 16:25:57]314,Slick Vest, Character ID:2
[07-30 16:25:57]315,Peacock Vest, Character ID:2
[07-30 16:25:57]316,Ringdove Vest, Character ID:2
[07-30 16:25:57]317,Raptor Vest, Character ID:2
[07-30 16:25:57]335,Cloth Shirt, Character ID:2
[07-30 16:25:57]336,Tough Vest, Character ID:2
[07-30 16:25:57]337,Explorer Vest, Character ID:2
[07-30 16:25:57]338,Adventure Vest, Character ID:2
[07-30 16:25:57]339,Helmsman Vest, Character ID:2
[07-30 16:25:57]340,Oarsman Vest, Character ID:2
[07-30 16:25:57]341,Deckman Vest, Character ID:2
[07-30 16:25:57]342,Mastman Vest, Character ID:2
[07-30 16:25:57]343,Hurricane Vest, Character ID:2
[07-30 16:25:57]344,Whirlpool Vest, Character ID:2
[07-30 16:25:57]345,Wind Vest, Character ID:2
[07-30 16:25:57]350,Crabby Costume, Character ID:1
[07-30 16:25:57]351,Rooroo Costume, Character ID:1
[07-30 16:25:57]352,Playful Racoon Costume, Character ID:1
[07-30 16:25:57]353,Duckling Costume, Character ID:1
[07-30 16:25:57]354,Big Crab Costume, Character ID:1
[07-30 16:25:57]355,Lobster Costume, Character ID:1
[07-30 16:25:57]356,Ducky Costume, Character ID:1
[07-30 16:25:57]357,Prawn Costume, Character ID:1
[07-30 16:25:57]358,Pincer Costume, Character ID:1
[07-30 16:25:57]359,Sheepy Costume, Character ID:1
[07-30 16:25:57]360,Meowy Costume, Character ID:1
[07-30 16:25:57]361,Owl Costume, Character ID:1
[07-30 16:25:57]362,Hopperoo Costume, Character ID:1
[07-30 16:25:57]363,Clever Otter Costume, Character ID:1
[07-30 16:25:57]364,Lucky Otter Costume, Character ID:1
[07-30 16:25:57]365,Medic Robe, Character ID:1
[07-30 16:25:57]366,Foster Robe, Character ID:1
[07-30 16:25:57]367,Travel Robe, Character ID:1
[07-30 16:25:57]368,Nurse Robe, Character ID:1
[07-30 16:25:57]369,Garcon Robe, Character ID:1
[07-30 16:25:57]370,Holy Robe, Character ID:1
[07-30 16:25:57]371,Follower Robe, Character ID:1
[07-30 16:25:57]372,Attendant Robe, Character ID:1
[07-30 16:25:57]373,Scholar Robe, Character ID:1
[07-30 16:25:57]374,Emergency Robe, Character ID:1
[07-30 16:25:57]375,Passage Robe, Character ID:1
[07-30 16:25:57]376,Healer Robe, Character ID:1
[07-30 16:25:57]377,Protector Robe, Character ID:1
[07-30 16:25:57]378,Piety Robe, Character ID:1
[07-30 16:25:57]379,Blessed Robe, Character ID:1
[07-30 16:25:57]380,Mousey Costume, Character ID:1
