[02-11 18:32:35]135,Arrow 01, Character ID:1
[02-11 18:32:35]149,Gunpowder 01, Character ID:1
[02-11 18:32:35]200,Left Plaster Glove, Character ID:1
[02-11 18:32:35]201,Left Brawler Glove, Character ID:1
[02-11 18:32:35]202,Left Master Glove, Character ID:1
[02-11 18:32:35]203,Left Jagged Blade, Character ID:1
[02-11 18:32:35]204,Left Cosmo Blade, Character ID:1
[02-11 18:32:35]205,Left Tiger Glove, Character ID:1
[02-11 18:32:35]206,Left Hand of Death, Character ID:1
[02-11 18:32:35]635,Lv 1 Strike Coral, Character ID:2
[02-11 18:32:35]636,Lv 2 Strike Coral, Character ID:2
[02-11 18:32:35]637,Lv 3 Strike Coral, Character ID:2
[02-11 18:32:35]638,Lv 4 Strike Coral, Character ID:2
[02-11 18:32:35]639,Lv 5 Strike Coral, Character ID:2
[02-11 18:32:36]1124,Chaos Framestone, Character ID:1
[02-11 18:32:36]1125,Chaos Clawstone, Character ID:1
[02-11 18:32:36]1126,Chaos Pawstone, Character ID:1
[02-11 18:32:36]1127,Chaos Crownstone, Character ID:4
[02-11 18:32:36]1999,Lance Failed Hairdo 1, Character ID:2
[02-11 18:32:36]2000,Hairdo 1, Character ID:2
[02-11 18:32:36]2001,Hairdo 2, Character ID:2
[02-11 18:32:36]2002,Hairdo 3, Character ID:2
[02-11 18:32:36]2003,Hairdo 4, Character ID:2
[02-11 18:32:36]2004,Hairdo 5, Character ID:2
[02-11 18:32:36]2005,Hairdo 6, Character ID:2
[02-11 18:32:36]2006,Hairdo 7, Character ID:2
[02-11 18:32:36]2007,Hairdo 8, Character ID:2
[02-11 18:32:36]2008,Event Commissioner, Character ID:2
[02-11 18:32:36]2009,Hairdo 1, Character ID:2
[02-11 18:32:36]2010,Hairdo 1, Character ID:2
[02-11 18:32:36]2011,Hairdo 1, Character ID:2
[02-11 18:32:36]2012,Hairdo 1, Character ID:2
[02-11 18:32:36]2013,Hairdo 1, Character ID:2
[02-11 18:32:36]2014,Hairdo 1, Character ID:2
[02-11 18:32:36]2015,Hairdo 2, Character ID:2
[02-11 18:32:36]2016,Hairdo 2, Character ID:2
[02-11 18:32:36]2017,Hairdo 2, Character ID:2
[02-11 18:32:36]2018,Hairdo 2, Character ID:2
[02-11 18:32:36]2019,Hairdo 2, Character ID:2
[02-11 18:32:36]2020,Hairdo 2, Character ID:2
[02-11 18:32:36]2021,Hairdo 3, Character ID:2
[02-11 18:32:36]2022,Hairdo 3, Character ID:2
[02-11 18:32:36]2023,Hairdo 3, Character ID:2
[02-11 18:32:36]2024,Hairdo 3, Character ID:2
[02-11 18:32:36]2025,Hairdo 3, Character ID:2
[02-11 18:32:36]2026,Hairdo 3, Character ID:2
[02-11 18:32:36]2027,Hairdo 4, Character ID:2
[02-11 18:32:36]2028,Hairdo 4, Character ID:2
[02-11 18:32:36]2029,Hairdo 4, Character ID:2
[02-11 18:32:36]2030,Hairdo 4, Character ID:2
[02-11 18:32:36]2031,Hairdo 4, Character ID:2
[02-11 18:32:36]2032,Hairdo 4, Character ID:2
[02-11 18:32:36]2033,Hairdo 5, Character ID:2
[02-11 18:32:36]2034,Hairdo 5, Character ID:2
[02-11 18:32:36]2035,Hairdo 5, Character ID:2
[02-11 18:32:36]2036,Hairdo 5, Character ID:2
[02-11 18:32:36]2037,Hairdo 5, Character ID:2
[02-11 18:32:36]2038,Hairdo 5, Character ID:2
[02-11 18:32:36]2039,Hairdo 5, Character ID:2
[02-11 18:32:36]2040,Hairdo 6, Character ID:2
[02-11 18:32:36]2041,Hairdo 6, Character ID:2
[02-11 18:32:36]2042,Hairdo 6, Character ID:2
[02-11 18:32:36]2043,Hairdo 6, Character ID:2
[02-11 18:32:36]2044,Hairdo 6, Character ID:2
[02-11 18:32:36]2045,Hairdo 6, Character ID:2
[02-11 18:32:36]2046,Hairdo 6, Character ID:2
[02-11 18:32:36]2047,Hairdo 7, Character ID:2
[02-11 18:32:36]2048,Hairdo 7, Character ID:2
[02-11 18:32:36]2049,Hairdo 7, Character ID:2
[02-11 18:32:36]2050,Hairdo 7, Character ID:2
[02-11 18:32:36]2051,Hairdo 7, Character ID:2
[02-11 18:32:36]2052,Hairdo 7, Character ID:2
[02-11 18:32:36]2053,Hairdo 7, Character ID:2
[02-11 18:32:36]2054,Hairdo 8, Character ID:2
[02-11 18:32:36]2055,Hairdo 8, Character ID:2
[02-11 18:32:36]2056,Hairdo 8, Character ID:2
[02-11 18:32:36]2057,Hairdo 8, Character ID:2
[02-11 18:32:36]2058,Hairdo 8, Character ID:2
[02-11 18:32:36]2059,Hairdo 8, Character ID:2
[02-11 18:32:36]2060,Guy 1 Bald Hairdo, Character ID:2
[02-11 18:32:36]2061,Lance Failed Hairdo 2, Character ID:2
[02-11 18:32:36]2062,Hairdo 1, Character ID:1
[02-11 18:32:36]2063,Hairdo 2, Character ID:1
[02-11 18:32:36]2064,Hairdo 3, Character ID:1
[02-11 18:32:36]2065,Hairdo 4, Character ID:1
[02-11 18:32:36]2066,Hairdo 5, Character ID:1
[02-11 18:32:36]2067,Hairdo 6, Character ID:1
[02-11 18:32:36]2068,Hairdo 7, Character ID:1
[02-11 18:32:36]2069,Hairdo 8, Character ID:1
[02-11 18:32:36]2070,Event Commissioner, Character ID:1
[02-11 18:32:36]2071,Hairdo 1, Character ID:1
[02-11 18:32:36]2072,Hairdo 1, Character ID:1
[02-11 18:32:36]2073,Hairdo 1, Character ID:1
[02-11 18:32:36]2074,Hairdo 1, Character ID:1
[02-11 18:32:36]2075,Hairdo 1, Character ID:1
[02-11 18:32:36]2076,Hairdo 1, Character ID:1
[02-11 18:32:36]2077,Hairdo 1, Character ID:1
[02-11 18:32:36]2078,Hairdo 2, Character ID:1
[02-11 18:32:36]2079,Hairdo 2, Character ID:1
[02-11 18:32:36]2080,Hairdo 2, Character ID:1
[02-11 18:32:36]2081,Hairdo 2, Character ID:1
[02-11 18:32:36]2082,Hairdo 2, Character ID:1
[02-11 18:32:36]2083,Hairdo 2, Character ID:1
[02-11 18:32:36]2084,Hairdo 3, Character ID:1
[02-11 18:32:36]2085,Hairdo 3, Character ID:1
[02-11 18:32:36]2086,Hairdo 3, Character ID:1
[02-11 18:32:36]2087,Hairdo 3, Character ID:1
[02-11 18:32:36]2088,Hairdo 3, Character ID:1
[02-11 18:32:36]2089,Hairdo 3, Character ID:1
[02-11 18:32:36]2090,Hairdo 4, Character ID:1
[02-11 18:32:36]2091,Hairdo 4, Character ID:1
[02-11 18:32:36]2092,Hairdo 4, Character ID:1
[02-11 18:32:36]2093,Hairdo 4, Character ID:1
[02-11 18:32:36]2094,Hairdo 4, Character ID:1
[02-11 18:32:36]2095,Hairdo 4, Character ID:1
[02-11 18:32:36]2096,Hairdo 4, Character ID:1
[02-11 18:32:36]2097,Hairdo 5, Character ID:1
[02-11 18:32:36]2098,Hairdo 5, Character ID:1
[02-11 18:32:36]2099,Hairdo 5, Character ID:1
[02-11 18:32:36]2100,Hairdo 5, Character ID:1
[02-11 18:32:36]2101,Hairdo 6, Character ID:1
[02-11 18:32:36]2102,Hairdo 6, Character ID:1
